medal_date,medal_code,name,gender,country_long,discipline,url_event,code_athlete,disciplines,birth_date,age_at_medal
2024-07-27,1.0,EVENEPOEL Remco,Male,Belgium,Cycling Road,/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--,1903136,['Cycling Road'],2000-01-25,24
2024-07-27,2.0,GANNA Filippo,Male,Italy,Cycling Road,/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--,1923520,"['Cycling Road', 'Cycling Track']",1996-07-25,28
2024-07-27,3.0,van AERT Wout,Male,Belgium,Cycling Road,/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--,1903147,['Cycling Road'],1994-09-15,29
2024-07-27,1.0,BROWN Grace,Female,Australia,Cycling Road,/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--,1940173,['Cycling Road'],1992-07-07,32
2024-07-27,2.0,HENDERSON Anna,Female,Great Britain,Cycling Road,/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--,1912525,['Cycling Road'],1998-11-14,25
2024-07-27,3.0,DYGERT Chloe,Female,United States of America,Cycling Road,/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--,1955079,"['Cycling Road', 'Cycling Track']",1997-01-01,27
2024-07-27,1.0,OH Sanguk,Male,Republic of Korea,Fencing,/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000100--,1927149,['Fencing'],1996-09-30,27
2024-07-27,2.0,FERJANI Fares,Male,Tunisia,Fencing,/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000100--,1937783,['Fencing'],1997-07-22,27
2024-07-27,3.0,SAMELE Luigi,Male,Italy,Fencing,/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000200--,1924595,['Fencing'],1987-07-25,37
2024-07-27,1.0,KONG Man Wai Vivian,Female,"Hong Kong, China",Fencing,/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000100--,1963262,['Fencing'],1994-02-08,30
2024-07-27,2.0,MALLO-BRETON Auriane,Female,France,Fencing,/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000100--,1916183,['Fencing'],1993-10-11,30
2024-07-27,3.0,MUHARI Eszter,Female,Hungary,Fencing,/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000200--,1946375,['Fencing'],2002-09-30,21
2024-07-27,1.0,SMETOV Yeldos,Male,Kazakhstan,Judo,/en/paris-2024/results/judo/men--60-kg/fnl-000100--,1935408,['Judo'],1992-09-09,31
